id,temperature,created_at,sound,light,dust,fan,motion
'1','26.82','2026-05-04 22:00:00','51.36','255','0.0144','1','0'
'2','26.85','2026-05-04 22:00:15','48.51','255','0.0192','1','0'
'3','26.75','2026-05-04 22:00:30','48.89','255','0.0105','1','0'
'4','26.75','2026-05-04 22:00:45','49.48','255','0.0136','1','0'
'5','26.57','2026-05-04 22:01:00','52.24','255','0.0331','1','0'
'6','26.46','2026-05-04 22:01:15','52.29','255','0.024','1','0'
'7','26.82','2026-05-04 22:01:30','56.23','255','0.0284','1','0'
'8','26.73','2026-05-04 22:01:45','51.54','255','0.0105','1','1'
'9','26.7','2026-05-04 22:02:00','56.3','255','0.0151','1','0'
'10','26.67','2026-05-04 22:02:15','53.48','255','0.0192','1','0'
'11','26.7','2026-05-04 22:02:30','50.99','255','0.0222','1','1'
'12','26.84','2026-05-04 22:02:45','49.54','255','0.0209','1','0'
'13','26.66','2026-05-04 22:03:00','53.89','255','0.0154','1','0'
'14','26.4','2026-05-04 22:03:15','57.09','255','0.0277','1','0'
'15','26.55','2026-05-04 22:03:30','54.3','255','0.0316','1','0'
'16','26.63','2026-05-04 22:03:45','51.98','255','0.0093','1','0'
'17','26.47','2026-05-04 22:04:00','50.26','255','0.0327','1','0'
'18','26.67','2026-05-04 22:04:15','56.12','255','0.0169','1','0'
'19','26.5','2026-05-04 22:04:30','47.98','255','0.0232','1','1'
'20','26.88','2026-05-04 22:04:45','51.68','255','0.0106','1','0'
'21','26.8','2026-05-04 22:05:00','47.24','255','0.0233','1','0'
'22','26.46','2026-05-04 22:05:15','53.5','255','0.0254','1','0'
'23','26.77','2026-05-04 22:05:30','49.59','255','0.0173','1','0'
'24','26.77','2026-05-04 22:05:45','46.94','255','0.0225','1','0'
'25','26.55','2026-05-04 22:06:00','52.74','255','0.0174','1','0'
'26','26.4','2026-05-04 22:06:15','55.24','255','0.0143','1','0'
'27','26.52','2026-05-04 22:06:30','53.46','255','0.0243','1','0'
'28','26.4','2026-05-04 22:06:45','56.19','255','0.0304','1','0'
'29','26.53','2026-05-04 22:07:00','135.61','255','0.0271','1','0'
'30','26.36','2026-05-04 22:07:15','56.11','255','0.0224','1','0'
'31','26.74','2026-05-04 22:07:30','53.07','255','0.0318','1','0'
'32','26.41','2026-05-04 22:07:45','50.23','255','0.0237','1','1'
'33','26.79','2026-05-04 22:08:00','51.96','255','0.0318','1','1'
'34','26.38','2026-05-04 22:08:15','50.3','255','0.0231','1','0'
