id,temperature,created_at,sound,light,dust,fan,motion
"'6481', ","'27.47',"," '2026-05-07  22:00:00',"," '16.92',"," '255',"," '0.0238',"," '1',", '0'
"'6482', ","'27.16',"," '2026-05-07  22:00:15',"," '14.41',"," '255',"," '0.025', ","'1', ",'0'
"'6483', ","'26.9', ","'2026-05-07  22:00:30', ","'19.66', ","'255', ","'0.0263', ","'1', ",'0'
"'6484', ","'27.41',"," '2026-05-07  22:00:45',"," '12.79',"," '255',"," '0.029', ","'1', ",'0'
"'6485', ","'27.28',"," '2026-05-07  22:01:00',"," '13.9', ","'255', ","'0.0252', ","'1', ",'0'
"'6486', ","'27.47',"," '2026-05-07  22:01:15',"," '18.6', ","'255', ","'0.0203', ","'1', ",'0'
"'6487', ","'27.47',"," '2026-05-07  22:01:30',"," '14.41',"," '255',"," '0.0154',"," '1',", '0'
"'6488', ","'27.44',"," '2026-05-07  22:01:45',"," '16.27',"," '255',"," '0.0134',"," '1',", '0'
"'6489', ","'27.04',"," '2026-05-07  22:02:00',"," '16.12',"," '255',"," '0.0161',"," '1',", '1'
"'6490', ","'27.18',"," '2026-05-07  22:02:15',", '199.23',", '255'",", '0.03', ","'1', ",'0'
"'6491', ","'26.95',"," '2026-05-07  22:02:30',"," '13.77',"," '255',"," '0.019', ","'1', ",'0'
"'6492', ","'27.4', ","'2026-05-07  22:02:45', ","'15.39', ","'255', ","'0.0336', ","'1', ",'1'
"'6493', ","'27.33',"," '2026-05-07  22:03:00',"," '19.02',"," '255',"," '0.0238',"," '1',", '0'
"'6494', ","'26.86',"," '2026-05-07  22:03:15',"," '15.49',"," '255',"," '0.0229',"," '1',", '0'
"'6495', ","'26.88',"," '2026-05-07  22:03:30',"," '15.36',"," '255',"," '0.0088',"," '1',", '1'
"'6496', ","'27.32',"," '2026-05-07  22:03:45',"," '20.27',"," '255',"," '0.031', ","'1', ",'0'
"'6497', ","'27.13',"," '2026-05-07  22:04:00',"," '12.39',"," '255',"," '0.0092',"," '1',", '0'
"'6498', ","'26.96',"," '2026-05-07  22:04:15',"," '15.34',"," '255',"," '0.0114',"," '1',", '0'
"'6499', ","'26.83',"," '2026-05-07  22:04:30',"," '16.76',"," '255',"," '0.0178',"," '1',", '0'
"'6500', ","'27.3', ","'2026-05-07  22:04:45', ","'13.09', ","'255', ","'0.0108', ","'1', ",'1'
"'6501', ","'27.19',"," '2026-05-07  22:05:00',"," '19.6', ","'255', ","'0.0181', ","'1', ",'0'
"'6502', ","'27.39',"," '2026-05-07  22:05:15',"," '19.19',"," '255',"," '0.0126',"," '1',", '1'
"'6503', ","'27.28',"," '2026-05-07  22:05:30',"," '14.73',"," '255',"," '0.027', ","'1', ",'1'
"'6504', ","'27.35',"," '2026-05-07  22:05:45',"," '16.99',"," '255',"," '0.0104',"," '1',", '1'
"'6505', ","'27.08',"," '2026-05-07  22:06:00',"," '21.85',"," '255',"," '0.0309',"," '1',", '0'
"'6506', ","'26.89',"," '2026-05-07  22:06:15',"," '21.93',"," '255',"," '0.0159',"," '1',", '0'
"'6507', ","'27.3', ","'2026-05-07  22:06:30', ","'21.93', ","'255', ","'0.0284', ","'1', ",'0'
"'6508', ","'26.99',"," '2026-05-07  22:06:45',"," '12.32',"," '255',"," '0.0122',"," '1',", '0'
"'6509', ","'26.96',"," '2026-05-07  22:07:00',"," '21.77',"," '255',"," '0.0269',"," '1',", '1'
"'6510', ","'26.96',"," '2026-05-07  22:07:15',"," '13.88',"," '255',"," '0.0227',"," '1',", '0'
"'6511', ","'27.06',"," '2026-05-07  22:07:30',"," '17.04',"," '255',"," '0.0119',"," '1',", '0'
"'6512', ","'27.16',"," '2026-05-07  22:07:45',", '107.43',", '255'",", '0.0323'",", '1'",", '1'"
"'6513', ","'26.79',"," '2026-05-07  22:08:00',"," '16.19',"," '255',"," '0.0098',"," '1',", '0'
"'6514', ","'26.99',"," '2026-05-07  22:08:15',"," '15.12',"," '255',"," '0.0128',"," '1',", '0'
"'6515', ","'27.26',"," '2026-05-07  22:08:30',"," '15.84',"," '255',"," '0.0143',"," '1',", '0'
"'6516', ","'27', '2","026-05-07 22 :08:45', '1","7.46', '2","55', '0",".0249', '1","', '0",'
"'6517', ","'26.96',"," '2026-05-07  22:09:00',"," '15.38',"," '255',"," '0.023', ","'1', ",'1'
"'6518', ","'26.93',"," '2026-05-07  22:09:15',"," '17.99',"," '255',"," '0.031', ","'1', ",'0'
"'6519', ","'27.25',"," '2026-05-07  22:09:30',"," '15.3', ","'255', ","'0.0223', ","'1', ",'0'
"'6520', ","'26.81',"," '2026-05-07  22:09:45',"," '20.72',"," '255',"," '0.0205',"," '1',", '0'
"'6521', ","'27.24',"," '2026-05-07  22:10:00',"," '12.95',"," '255',"," '0.0286',"," '1',", '0'
"'6522', ","'27.25',"," '2026-05-07  22:10:15',"," '15.78',"," '255',"," '0.0218',"," '1',", '0'
"'6523', ","'26.79',"," '2026-05-07  22:10:30',"," '19.4', ","'255', ","'0.0103', ","'1', ",'0'
"'6524', ","'27.26',"," '2026-05-07  22:10:45',"," '17.48',"," '255',"," '0.0271',"," '1',", '0'
"'6525', ","'27.12',"," '2026-05-07  22:11:00',"," '15.95',"," '255',"," '0.0098',"," '1',", '0'
"'6526', ","'27.22',"," '2026-05-07  22:11:15',"," '19.03',"," '255',"," '0.0182',"," '1',", '1'
"'6527', ","'26.85',"," '2026-05-07  22:11:30',"," '18.68',"," '255',"," '0.0168',"," '1',", '0'
"'6528', ","'27.25',"," '2026-05-07  22:11:45',"," '16.13',"," '255',"," '0.0144',"," '1',", '1'
"'6529', ","'26.85',"," '2026-05-07  22:12:00',"," '20', '2","55', '0",".0167', '1","', '0",'
"'6530', ","'26.99',"," '2026-05-07  22:12:15',"," '19.54',"," '255',"," '0.0147',"," '1',", '1'
"'6531', ","'26.78',"," '2026-05-07  22:12:30',"," '15.87',"," '255',"," '0.0195',"," '1',", '1'
"'6532', ","'26.76',"," '2026-05-07  22:12:45',"," '17.47',"," '255',"," '0.0207',"," '1',", '1'
"'6533', ","'27.22',"," '2026-05-07  22:13:00',"," '12.88',"," '255',"," '0.028', ","'1', ",'0'
"'6534', ","'26.66',"," '2026-05-07  22:13:15',"," '14.47',"," '255',"," '0.014', ","'1', ",'1'
"'6535', ","'27.18',"," '2026-05-07  22:13:30',"," '14.08',"," '255',"," '0.0213',"," '1',", '0'
"'6536', ","'26.85',"," '2026-05-07  22:13:45',", '168.57',", '255'",", '0.0289'",", '1'",", '1'"
"'6537', ","'27.16',"," '2026-05-07  22:14:00',"," '13.32',"," '255',"," '0.0241',"," '1',", '0'
"'6538', ","'27.03',"," '2026-05-07  22:14:15',"," '14.37',"," '255',"," '0.0267',"," '1',", '0'
"'6539', ","'27.1', ","'2026-05-07  22:14:30', ","'17.35', ","'255', ","'0.0328', ","'1', ",'0'
