id,temperature,created_at,sound,light,dust,fan,motion
"'2161', ","'23.04',"," '2026-05-05  22:00:00',"," '15.58', ","'255', ","'0.0203', ","'0', ",'0'
"'2162', ","'23.2', ","'2026-05-05  22:00:15', ","'9.51', '2","55', '0",".0295', '0","', '0",'
"'2163', ","'23.39',"," '2026-05-05  22:00:30',"," '12.54', ","'255', ","'0.0227', ","'0', ",'0'
"'2164', ","'23.38',"," '2026-05-05  22:00:45',"," '14.99', ","'255', ","'0.018', '","0', '",0'
"'2165', ","'23.39',"," '2026-05-05  22:01:00',"," '8.79', '","255', '","0.0179', '","0', '",0'
"'2166', ","'23.13',"," '2026-05-05  22:01:15',"," '15.21', ","'255', ","'0.0266', ","'0', ",'0'
"'2167', ","'22.88',"," '2026-05-05  22:01:30',"," '13.94', ","'255', ","'0.0317', ","'0', ",'0'
"'2168', ","'23', '2","2026-05-05 22 :01:45', ","1.72', '25","5', '0.","0121', '0'",", '0'",1'
"'2169', ","'23.08',"," '2026-05-05  22:02:00',"," '14.06', ","'255', ","'0.013', '","0', '",1'
"'2170', ","'22.96',"," '2026-05-05  22:02:15',"," '8.71', '","255', '","0.0167', '","0', '",0'
"'2171', ","'23.09',"," '2026-05-05  22:02:30',"," '12.18', ","'255', ","'0.025', '","0', '",0'
"'2172', ","'22.98',"," '2026-05-05  22:02:45',"," '12.64', ","'255', ","'0.0093', ","'0', ",'0'
"'2173', ","'23.26',"," '2026-05-05  22:03:00',"," '9.07', '","255', '","0.0164', '","0', '",0'
"'2174', ","'23.06',"," '2026-05-05  22:03:15',"," '15.42', ","'255', ","'0.0305', ","'0', ",'0'
"'2175', ","'23.33',"," '2026-05-05  22:03:30',"," '114.47',"," '255',"," '0.0114',"," '0',", '0'
"'2176', ","'23.41',"," '2026-05-05  22:03:45',"," '100.04',"," '255',"," '0.0258',"," '0',", '0'
"'2177', ","'23.23',"," '2026-05-05  22:04:00',"," '15.62', ","'255', ","'0.0095', ","'0', ",'0'
"'2178', ","'22.98',"," '2026-05-05  22:04:15',"," '17.35', ","'255', ","'0.009', '","0', '",0'
"'2179', ","'23.09',"," '2026-05-05  22:04:30',"," '169.29',"," '255',"," '0.0184',"," '0',", '0'
"'2180', ","'23.07',"," '2026-05-05  22:04:45',"," '12.66', ","'255', ","'0.0157', ","'0', ",'0'
"'2181', ","'22.83',"," '2026-05-05  22:05:00',"," '13.77', ","'255', ","'0.0324', ","'0', ",'0'
"'2182', ","'23.23',"," '2026-05-05  22:05:15',"," '16.25', ","'255', ","'0.0235', ","'0', ",'0'
"'2183', ","'23.07',"," '2026-05-05  22:05:30',"," '10.34', ","'255', ","'0.0097', ","'0', ",'0'
"'2184', ","'22.98',"," '2026-05-05  22:05:45',"," '9.26', '","255', '","0.0157', '","0', '",0'
"'2185', ","'23.19',"," '2026-05-05  22:06:00',"," '12.78', ","'255', ","'0.0297', ","'0', ",'0'
"'2186', ","'23.04',"," '2026-05-05  22:06:15',"," '11.63', ","'255', ","'0.0127', ","'0', ",'0'
"'2187', ","'23.16',"," '2026-05-05  22:06:30',"," '12.27', ","'255', ","'0.03', '0","', '0",'
"'2188', ","'23.04',"," '2026-05-05  22:06:45',"," '8.93', '","255', '","0.03', '0'",", '0'",
"'2189', ","'22.92',"," '2026-05-05  22:07:00',"," '9.73', '","255', '","0.0349', '","0', '",0'
"'2190', ","'22.92',"," '2026-05-05  22:07:15',"," '16.4', '","255', '","0.0207', '","0', '",0'
"'2191', ","'22.98',"," '2026-05-05  22:07:30',"," '17.17', ","'255', ","'0.0331', ","'0', ",'0'
"'2192', ","'23.23',"," '2026-05-05  22:07:45',"," '17.67', ","'255', ","'0.0308', ","'0', ",'0'
"'2193', ","'23.11',"," '2026-05-05  22:08:00',"," '11.78', ","'255', ","'0.0224', ","'0', ",'0'
"'2194', ","'22.84',"," '2026-05-05  22:08:15',"," '11.1', '","255', '","0.0287', '","0', '",0'
"'2195', ","'22.75',"," '2026-05-05  22:08:30',"," '15.95', ","'255', ","'0.0108', ","'0', ",'0'
"'2196', ","'23.09',"," '2026-05-05  22:08:45',"," '17.44', ","'255', ","'0.0254', ","'0', ",'0'
"'2197', ","'22.97',"," '2026-05-05  22:09:00',"," '14.21', ","'255', ","'0.033', '","0', '",1'
"'2198', ","'23.3', ","'2026-05-05  22:09:15', ","'10.05', '","255', '","0.0097', '","0', '",0'
"'2199', ","'23.28',"," '2026-05-05  22:09:30',"," '11.92', ","'255', ","'0.0272', ","'0', ",'0'
"'2200', ","'23.1', ","'2026-05-05  22:09:45', ","'13.07', '","255', '","0.0263', '","0', '",0'
"'2201', ","'23.08',"," '2026-05-05  22:10:00',"," '11.44', ","'255', ","'0.0241', ","'0', ",'0'
"'2202', ","'22.8', ","'2026-05-05  22:10:15', ","'11.44', '","255', '","0.0237', '","0', '",0'
"'2203', ","'23.23',"," '2026-05-05  22:10:30',"," '12.33', ","'255', ","'0.01', '0","', '0",'
"'2204', ","'22.81',"," '2026-05-05  22:10:45',"," '14.5', '","255', '","0.0334', '","0', '",0'
"'2205', ","'23.13',"," '2026-05-05  22:11:00',"," '10.76', ","'255', ","'0.0312', ","'0', ",'0'
"'2206', ","'23.16',"," '2026-05-05  22:11:15',"," '15.62', ","'255', ","'0.009', '","0', '",0'
"'2207', ","'23.12',"," '2026-05-05  22:11:30',"," '7.85', '","255', '","0.0295', '","0', '",0'
"'2208', ","'22.85',"," '2026-05-05  22:11:45',"," '14.13', ","'255', ","'0.0156', ","'0', ",'1'
"'2209', ","'22.75',"," '2026-05-05  22:12:00',"," '9', '255","', '0.0","242', '0',", '0',
"'2210', ","'22.9', ","'2026-05-05  22:12:15', ","'9.06', '2","55', '0",".0136', '0","', '0",'
"'2211', ","'22.85',"," '2026-05-05  22:12:30',"," '9.34', '","255', '","0.0332', '","0', '",0'
"'2212', ","'23.13',"," '2026-05-05  22:12:45',"," '12.75', ","'255', ","'0.021', '","0', '",0'
"'2213', ","'23.21',"," '2026-05-05  22:13:00',"," '9.63', '","255', '","0.0244', '","0', '",0'
"'2214', ","'22.93',"," '2026-05-05  22:13:15',"," '17.47', ","'255', ","'0.0211', ","'0', ",'0'
"'2215', ","'22.8', ","'2026-05-05  22:13:30', ","'13.65', '","255', '","0.0091', '","0', '",0'
"'2216', ","'22.88',"," '2026-05-05  22:13:45',"," '9.91', '","255', '","0.0325', '","0', '",0'
"'2217', ","'22.9', ","'2026-05-05  22:14:00', ","'9.54', '2","55', '0",".0218', '0","', '0",'
"'2218', ","'22.95',"," '2026-05-05  22:14:15',"," '9.62', '","255', '","0.0346', '","0', '",0'
"'2219', ","'23.06',"," '2026-05-05  22:14:30',"," '13.36', ","'255', ","'0.0194', ","'0', ",'0'
"'2220', ","'23.1', ","'2026-05-05  22:14:45', ","'17.53', '","255', '","0.0096', '","0', '",0'
"'2221', ","'23.03',"," '2026-05-05  22:15:00',"," '8.82', '","255', '","0.0269', '","0', '",0'
"'2222', ","'22.69',"," '2026-05-05  22:15:15',"," '14.74', ","'255', ","'0.021', '","0', '",0'
"'2223', ","'22.96',"," '2026-05-05  22:15:30',"," '15.24', ","'255', ","'0.0175', ","'0', ",'0'
"'2224', ","'22.89',"," '2026-05-05  22:15:45',"," '16.77', ","'255', ","'0.033', '","0', '",0'
"'2225', ","'22.64',"," '2026-05-05  22:16:00',"," '14.23', ","'255', ","'0.0219', ","'0', ",'0'
"'2226', ","'22.64',"," '2026-05-05  22:16:15',"," '8.42', '","255', '","0.0175', '","0', '",0'
"'2227', ","'22.74',"," '2026-05-05  22:16:30',"," '13.99', ","'255', ","'0.0189', ","'0', ",'0'
"'2228', ","'23.08',"," '2026-05-05  22:16:45',"," '7.55', '","255', '","0.025', '0","', '0",'
"'2229', ","'22.87',"," '2026-05-05  22:17:00',"," '9.21', '","255', '","0.0183', '","0', '",0'
"'2230', ","'22.78',"," '2026-05-05  22:17:15',"," '11.19', ","'255', ","'0.008', '","0', '",0'
"'2231', ","'22.85',"," '2026-05-05  22:17:30',"," '12.12', ","'255', ","'0.0195', ","'0', ",'0'
"'2232', ","'22.91',"," '2026-05-05  22:17:45',"," '10.71', ","'255', ","'0.0111', ","'0', ",'0'
"'2233', ","'22.57',"," '2026-05-05  22:18:00',"," '11.88', ","'255', ","'0.0218', ","'0', ",'0'
"'2234', ","'23.05',"," '2026-05-05  22:18:15',"," '14.46', ","'255', ","'0.0111', ","'0', ",'0'
"'2235', ","'22.84',"," '2026-05-05  22:18:30',"," '12.78', ","'255', ","'0.0268', ","'0', ",'0'
"'2236', ","'23.04',"," '2026-05-05  22:18:45',"," '8.12', '","255', '","0.0243', '","0', '",0'
"'2237', ","'22.66',"," '2026-05-05  22:19:00',"," '8.34', '","255', '","0.0274', '","0', '",0'
"'2238', ","'22.72',"," '2026-05-05  22:19:15',"," '15.41', ","'255', ","'0.0124', ","'0', ",'0'
"'2239', ","'23', '2","026-05-05 22 :19:30', '1","6.89', '25","5', '0.","033', '0',", '0',
"'2240', ","'22.81',"," '2026-05-05  22:19:45',"," '17.31', ","'255', ","'0.0223', ","'0', ",'0'
"'2241', ","'22.88',"," '2026-05-05  22:20:00',"," '15.64', ","'255', ","'0.0213', ","'0', ",'0'
"'2242', ","'22.76',"," '2026-05-05  22:20:15',"," '167.39',"," '255',"," '0.0234',"," '0',", '0'
"'2243', ","'22.7', ","'2026-05-05  22:20:30', ","'15.6', '2","55', '0",".0168', '0","', '0",'
"'2244', ","'22.73',"," '2026-05-05  22:20:45',"," '16.96', ","'255', ","'0.0133', ","'0', ",'1'
"'2245', ","'22.87',"," '2026-05-05  22:21:00',"," '15.52', ","'255', ","'0.0165', ","'0', ",'0'
"'2246', ","'22.93',"," '2026-05-05  22:21:15',"," '11.86', ","'255', ","'0.0331', ","'0', ",'1'
"'2247', ","'22.65',"," '2026-05-05  22:21:30',"," '16.26', ","'255', ","'0.0241', ","'0', ",'0'
"'2248', ","'22.95',"," '2026-05-05  22:21:45',"," '9', '255","', '0.0","169', '0',", '0',
"'2249', ","'22.59',"," '2026-05-05  22:22:00',"," '14.57', ","'255', ","'0.0335', ","'0', ",'0'
"'2250', ","'22.78',"," '2026-05-05  22:22:15',"," '13.17', ","'255', ","'0.0273', ","'0', ",'0'
"'2251', ","'22.75',"," '2026-05-05  22:22:30',"," '10.08', ","'255', ","'0.0143', ","'0', ",'0'
"'2252', ","'22.59',"," '2026-05-05  22:22:45',"," '7.95', '","255', '","0.0337', '","0', '",0'
"'2253', ","'22.98',"," '2026-05-05  22:23:00',"," '10.91', ","'255', ","'0.0208', ","'0', ",'1'
"'2254', ","'22.95',"," '2026-05-05  22:23:15',"," '15.25', ","'255', ","'0.0334', ","'0', ",'0'
"'2255', ","'22.83',"," '2026-05-05  22:23:30',"," '15.01', ","'255', ","'0.0337', ","'0', ",'0'
"'2256', ","'22.63',"," '2026-05-05  22:23:45',"," '10.27', ","'255', ","'0.0105', ","'0', ",'0'
"'2257', ","'22.85',"," '2026-05-05  22:24:00',"," '10.26', ","'255', ","'0.0201', ","'0', ",'0'
"'2258', ","'22.58',"," '2026-05-05  22:24:15',"," '15.38', ","'255', ","'0.0243', ","'0', ",'0'
"'2259', ","'22.54',"," '2026-05-05  22:24:30',"," '8.28', '","255', '","0.0216', '","0', '",0'
"'2260', ","'23.01',"," '2026-05-05  22:24:45',"," '13.92', ","'255', ","'0.0116', ","'0', ",'0'
"'2261', ","'22.74',"," '2026-05-05  22:25:00',"," '16.32', ","'255', ","'0.0298', ","'0', ",'0'
"'2262', ","'22.74',"," '2026-05-05  22:25:15',"," '16.4', '","255', '","0.0173', '","0', '",0'
"'2263', ","'22.82',"," '2026-05-05  22:25:30',"," '8.56', '","255', '","0.0151', '","0', '",0'
"'2264', ","'22.66',"," '2026-05-05  22:25:45',"," '15.64', ","'255', ","'0.0272', ","'0', ",'0'
"'2265', ","'22.89',"," '2026-05-05  22:26:00',"," '15.58', ","'255', ","'0.0256', ","'0', ",'0'
"'2266', ","'22.47',"," '2026-05-05  22:26:15',"," '11.71', ","'255', ","'0.0272', ","'0', ",'0'
"'2267', ","'22.47',"," '2026-05-05  22:26:30',"," '10.97', ","'255', ","'0.0306', ","'0', ",'0'
"'2268', ","'22.7', ","'2026-05-05  22:26:45', ","'7.97', '2","55', '0",".0303', '0","', '0",'
"'2269', ","'22.48',"," '2026-05-05  22:27:00',"," '9.56', '","255', '","0.0139', '","0', '",0'
"'2270', ","'22.65',"," '2026-05-05  22:27:15',"," '13.95', ","'255', ","'0.0108', ","'0', ",'0'
"'2271', ","'22.91',"," '2026-05-05  22:27:30',"," '9.33', '","255', '","0.0194', '","0', '",0'
"'2272', ","'22.42',"," '2026-05-05  22:27:45',"," '15.6', '","255', '","0.0155', '","0', '",0'
"'2273', ","'22.89',"," '2026-05-05  22:28:00',"," '11.69', ","'255', ","'0.0227', ","'0', ",'0'
"'2274', ","'22.86',"," '2026-05-05  22:28:15',"," '13.39', ","'255', ","'0.0327', ","'0', ",'0'
"'2275', ","'22.96',"," '2026-05-05  22:28:30',"," '13.42', ","'255', ","'0.0198', ","'0', ",'0'
"'2276', ","'22.62',"," '2026-05-05  22:28:45',"," '10.65', ","'255', ","'0.0139', ","'0', ",'0'
"'2277', ","'22.52',"," '2026-05-05  22:29:00',"," '7.4', '2","55', '0",".0156', '0","', '0",'
"'2278', ","'22.58',"," '2026-05-05  22:29:15',"," '10.54', ","'255', ","'0.0137', ","'0', ",'0'
"'2279', ","'22.55',"," '2026-05-05  22:29:30',"," '16.2', '","255', '","0.0119', '","0', '",0'
"'2280', ","'22.49',"," '2026-05-05  22:29:45',"," '7.12', '","255', '","0.0214', '","0', '",1'
"'2281', ","'22.74',"," '2026-05-05  22:30:00',"," '8', '255","', '0.0","279', '0',", '0',
"'2282', ","'22.75',"," '2026-05-05  22:30:15',"," '13.46', ","'255', ","'0.0239', ","'0', ",'0'
"'2283', ","'22.91',"," '2026-05-05  22:30:30',"," '14.97', ","'255', ","'0.01', '0","', '0",'
"'2284', ","'22.61',"," '2026-05-05  22:30:45',"," '10.19', ","'255', ","'0.0129', ","'0', ",'0'
"'2285', ","'22.89',"," '2026-05-05  22:31:00',"," '13.89', ","'255', ","'0.0207', ","'0', ",'0'
"'2286', ","'22.46',"," '2026-05-05  22:31:15',"," '14.2', '","255', '","0.0149', '","0', '",0'
"'2287', ","'22.78',"," '2026-05-05  22:31:30',"," '12.84', ","'255', ","'0.0347', ","'0', ",'0'
"'2288', ","'22.65',"," '2026-05-05  22:31:45',"," '12.54', ","'255', ","'0.0174', ","'0', ",'0'
"'2289', ","'22.57',"," '2026-05-05  22:32:00',"," '9.43', '","255', '","0.015', '0","', '0",'
"'2290', ","'22.61',"," '2026-05-05  22:32:15',"," '7.25', '","255', '","0.0154', '","0', '",0'
"'2291', ","'22.81',"," '2026-05-05  22:32:30',"," '15.09', ","'255', ","'0.0135', ","'0', ",'0'
"'2292', ","'22.79',"," '2026-05-05  22:32:45',"," '12.03', ","'255', ","'0.0241', ","'0', ",'0'
"'2293', ","'22.33',"," '2026-05-05  22:33:00',"," '11.1', '","255', '","0.0305', '","0', '",0'
