id,temperature,created_at,sound,light,dust,fan,motion
"'4321', ","'24.47',"," '2026-05-06  22:00:00',"," '24.16',"," '255',"," '0.0221',"," '0',", '0'
"'4322', ","'24.84',"," '2026-05-06  22:00:15',"," '23.75',"," '255',"," '0.0263',"," '0',", '0'
"'4323', ","'24.95',"," '2026-05-06  22:00:30',"," '22.76',"," '255',"," '0.0242',"," '0',", '0'
"'4324', ","'24.81',"," '2026-05-06  22:00:00',"," '28.68',"," '255',"," '0.0296',"," '0',", '1'
"'4325', ","'24.77',"," '2026-05-06  22:01:00',"," '25.81',"," '255',"," '0.0134',"," '0',", '0'
"'4326', ","'24.78',"," '2026-05-06  22:01:15',"," '25.82',"," '255',"," '0.033', ","'0', ",'0'
"'4327', ","'24.85',"," '2026-05-06  22:01:30',"," '28.53',"," '255',"," '0.0347',"," '0',", '0'
"'4328', ","'24.52',"," '2026-05-06  22:01:45',"," '26.52',"," '255',"," '0.0334',"," '0',", '0'
"'4329', ","'24.86',"," '2026-05-06  22:02:00',"," '24.05',"," '255',"," '0.0196',"," '0',", '0'
"'4330', ","'24.5', ","'2026-05-06  22:02:15', ","'29.11', ","'255', ","'0.0141', ","'0', ",'1'
"'4331', ","'24.53',"," '2026-05-06  22:02:30',"," '29.2', ","'255', ","'0.0087', ","'0', ",'0'
"'4332', ","'24.38',"," '2026-05-06  22:02:45',"," '26.97',"," '255',"," '0.0232',"," '0',", '0'
"'4333', ","'24.57',"," '2026-05-06  22:03:00',"," '26.85',"," '255',"," '0.0091',"," '0',", '0'
"'4334', ","'24.55',"," '2026-05-06  22:03:15',"," '22.32',"," '255',"," '0.0275',"," '0',", '0'
"'4335', ","'24.64',"," '2026-05-06  22:03:30',"," '24.04',"," '255',"," '0.0186',"," '0',", '1'
"'4336', ","'24.6', ","'2026-05-06  22:03:45', ","'30.42', ","'255', ","'0.0281', ","'0', ",'0'
"'4337', ","'24.91',"," '2026-05-06  22:04:00',"," '30.04',"," '255',"," '0.0285',"," '0',", '0'
"'4338', ","'24.67',"," '2026-05-06  22:04:15',"," '28.89',"," '255',"," '0.0281',"," '0',", '0'
"'4339', ","'24.42',"," '2026-05-06  22:04:30',"," '26.56',"," '255',"," '0.0251',"," '0',", '1'
"'4340', ","'24.63',"," '2026-05-06  22:04:45',"," '21.8', ","'255', ","'0.0112', ","'0', ",'0'
"'4341', ","'24.68',"," '2026-05-06  22:05:00',"," '29.59',"," '255',"," '0.0267',"," '0',", '1'
"'4342', ","'24.36',"," '2026-05-06  22:05:15',", '163.36',", '255'",", '0.0293'",", '0'",", '0'"
"'4343', ","'24.81',"," '2026-05-06  22:05:30',"," '22.34',"," '255',"," '0.0174',"," '0',", '0'
"'4344', ","'24.55',"," '2026-05-06  22:05:45',"," '23.78',"," '255',"," '0.0126',"," '0',", '0'
